品牌 (Brand),产品编号,条形码,产品名称,规格,折扣前,折扣率,折扣后
Cervantes,PB202,8.43525E+12,CUADERNO GRAPADO 4_ GUIA 4MM 30H 70G,A5 30张 70g 软皮骑马钉 4mm导线,539_,"-19,25%",435_
Cervantes,PB203,8.43525E+12,CUADERNO GRAPADO 4_ GUIA 5MM 30H 70G,A5 30张 70g 软皮骑马钉 5mm导线,539_,"-23,5%",412_
Cervantes,PB204,8.43525E+12,CUADERNO ESP T BLAND 4_ GUIA 3MM 40H 70G,A5 40张 70g 软皮线圈 3mm导线,869_,"-23,5%",665_
Cervantes,PB205,8.43525E+12,CUADERNO ESP T BLAND 4_ GUIA 4MM 40H 70G,A5 40张 70g 软皮线圈 4mm导线,869_,"-19,25%",702_
Cervantes,PB206,8.43525E+12,CUADERNO ESP T BLAND 4_ GUIA 5MM 40H 70G,A5 40张 70g 软皮线圈 5mm导线,869_,"-19,25%",702_
Cervantes,PB207,8.43525E+12,CUADERNO ESP T BLAND F_ GUIA 3MM 80H 70G,F_ 80张 70g 软皮线圈 3mm导线,"1,419_","-19,25%","1,146_"
Cervantes,PB208,8.43525E+12,CUADERNO ESP T BLAND F_ GUIA 4MM 80H 70G,F_ 80张 70g 软皮线圈 4mm导线,"1,419_","-19,25%","1,146_"
Cervantes,PB209,8.43525E+12,CUADERNO ESP T BLAND F_ GUIA 5MM 80H 70G,F_ 80张 70g 软皮线圈 5mm导线,"1,419_","-19,25%","1,146_"
Cervantes,PB044-06,8.43546E+12,CUADERNO ESPIRAL F_ 80 HOJAS 90g/m_ AMA,F_ 80张 90g 硬抄线圈 4x4方格(黄),"1,639_","-19,25%","1,323_"
Cervantes,PB133,8.43525E+12,CUADERNO ESP T FORRADO A4 5X5 120H 90G,A4 120张 90g 硬抄线圈 5mm方格,"2,924_","-19,25%","2,361_"
Cervantes,PB134,8.43525E+12,CUADERNO ESP T FORRADO A5 5X5 120H 90G,A5 120张 90g 硬抄线圈 5mm方格,"2,447_","-19,25%","1,976_"
Cervantes,PB135,8.43546E+12,CUADERNO ESP T FORRADO A4 5X5 120H 90G,A4 120张 90g 硬抄线圈 5mm方格,"2,924_","-19,25%","2,361_"
Cervantes,PB210,8.43525E+12,CUADERNO ESP T DURA F_ GUIA 3MM 80H 70G,F_ 80张 70g 硬抄线圈 3mm导线,"1,639_","-19,25%","1,323_"
Cervantes,PB211,8.43525E+12,CUADERNO ESP T DURA F_ GUIA 4MM 80H 70G,F_ 80张 70g 硬抄线圈 4mm导线,"1,639_","-23,5%","1,254_"
Cervantes,PB212,8.43525E+12,CUADERNO ESP T DURA F_ GUIA 5MM 80H 70G,F_ 80张 70g 硬抄线圈 5mm导线,"1,639_","-19,25%","1,323_"
SADIPAL,22212801,U8427973128012,FORRO ADHESIVO 0.33 x 1.5 m SADIPAL,0.33 x 1.5m 透明自粘包书纸,567_,-15%,482_
SADIPAL,22212838,U8427973128388,FORRO ADHESIVO 0.45 x 5 m 12838 SADIPAL,0.45 x 5m 透明自粘包书纸,"1,970_",-15%,"1,675_"
SADIPAL,22212875,U8427973128753,FORRO ADHESIVO 0.33 x 5 m 12875 SADIPAL,0.33 x 5m 透明自粘包书纸,"1,789_",-15%,"1,521_"
RENOLIT,701992,U8426505000017,FORRO 45 x 2 m RENOLIT,45cm x 2m 透明包书卷纸,436_,-15%,371_
RENOLIT,701995,U8426505000031,FORRO 45 x 5 m RENOLIT,45cm x 5m 透明包书卷纸,"1,180_",-15%,"1,003_"
SADIPAL,11101127,8.42797E+12,FORRO ADHESIVO EN HOJAS 50X35CM 10H,50 x 35cm (10片) 自粘包书片,"2,712_",-15%,"2,305_"
SADIPAL,22210625,U8427973106256,PAPEL KRAFT MARR_N 1 x 3 m (30 Uds.),1 x 3m 棕色牛皮纸卷,948_,-15%,806_
SADIPAL,22210627,U8427973106270,PAPEL KRAFT MARR_N 1 x 5 (30 Uds.),1 x 5m 棕色牛皮纸卷,"1,663_",-15%,"1,414_"
Cervantes,PB158,8.43546E+12,RECAMBIO A4 4X4 250H 90G,A4 250张 90g 活页纸 4mm方格,"3,289_","-19,25%","2,656_"
Cervantes,PB159,8.43525E+12,RECAMBIO A4 4X4 120H 90G,A4 120张 90g 活页纸 4mm方格,"1,611_","-19,25%","1,301_"
Cervantes,PB159M,8.43525E+12,RECAMBIO F_ 4X4 100H 90G,F_ 100张 90g 活页纸 4mm方格,"1,611_","-19,25%","1,301_"
Cervantes,PB235-01,8.43546E+12,RECAMBIO A4 90 g/m_ 80 HOJAS 4 TALADROS,A4 80张 90g 活页纸 5mm方格,"1,706_","-19,25%","1,378_"
Cervantes,PB514,8.43572E+12,RECAMBIO A4 MILIMETRADO 46 100H 90G,A4 100张 90g 活页纸 4x6网格,"1,611_","-23,5%","1,232_"
Cervantes,PB530,8.43525E+12,RECAMBIO A4 CUADR_CULA 5 x 5 mm COLOR 90,A4 60张 90g 活页纸 5mm方格(深蓝),"1,341_","-19,25%","1,083_"
Cervantes,PB530-01,8.43546E+12,RECAMBIO A4 CUADR_CULA 5 x 5 cm COLOR 90,A4 60张 90g 活页纸 5mm方格(玫红),"1,341_","-19,25%","1,083_"
Cervantes,PB530-02,8.43546E+12,RECAMBIO A4 CUADR_CULA 5 x 5 cm COLOR 90,A4 60张 90g 活页纸 5mm方格(浅粉),"1,341_","-19,25%","1,083_"
Cervantes,PB530-07,8.43546E+12,RECAMBIO A4 CUADR_CULA 5 x 5 cm COLOR 90,A4 60张 90g 活页纸 5mm方格(橘红),"1,341_","-19,25%","1,083_"
Cervantes,PB530-08,8.43546E+12,RECAMBIO A4 CUADR_CULA 5 x 5 cm COLOR 90,A4 60张 90g 活页纸 5mm方格(紫色),"1,341_","-19,25%","1,083_"
Cervantes,PB539,8.43525E+12,RECAMBIO A4 CUADR_CULA 5 x 5 cm COLOR 90,A4 100张 90g 活页纸 5mm方格(多色),"2,059_","-19,25%","1,663_"
Cervantes,PB731,8.43572E+12,RECAMBIO A4 CUADR_CULA 5x5 mm 10COLORES,A4 200张 90g 活页纸 5mm方格(10色),"2,341_","-19,25%","1,890_"
JOVI,701907001,8.41203E+12,PLASTILINA ESTUCHE 30 PASTILLAS 50 g BLA,50g 白色 橡皮泥,328_,-15%,279_
JOVI,701907002,8.41203E+12,PLASTILINA ESTUCHE 30U 50g AMARILLO CLAR,50g 淡黄 橡皮泥,328_,-15%,279_
JOVI,701907004,8.41203E+12,PLASTILINA ESTUCHE 30 PASTILLAS 50 g NAR,50g 橙色 橡皮泥,328_,-15%,279_
JOVI,701907005,8.41203E+12,PLASTILINA ESTUCHE 30 PASTILLAS 50 g ROJ,50g 红色 橡皮泥,328_,-15%,279_
JOVI,701907015,8.41203E+12,PLASTILINA ESTUCHE 30 PASTILLAS 50 g NEG,50g 黑色 橡皮泥,328_,-15%,279_
JOVI,701907101,8.41203E+12,PLASTILINA ESTUCHE 15 PASTILLAS 150 g BL,150g 白色 橡皮泥,863_,-15%,734_
JOVI,701907102,8.41203E+12,PLASTILINA ESTUCHE 15U 150 g AMARILLO CL,150g 淡黄 橡皮泥,863_,-15%,734_
